transaction_id,transaction_date,description,amount,balance,reference_number,transaction_type,channel,currency
TXN000001,2025-07-18,Agent every development say.,-3330.03,37335.97,REF819fn600,DEBIT,ONLINE,USD
TXN000002,2025-07-02,Measure ago current practice nation.,6047.07,34158.27,REF379SB402,DEBIT,MOBILE,USD
TXN000003,2025-06-29,Everyone democratic shake bill here grow.,-4553.04,11713.26,REF594hy078,DEBIT,ONLINE,USD
TXN000004,2025-07-20,Need stop peace technology.,4748.27,27702.13,REF931fo034,DEBIT,MOBILE,USD
TXN000005,2025-07-16,Herself law street class.,-827.14,43595.72,REF534IU192,DEBIT,MOBILE,USD
TXN000006,2025-07-08,Clear here writer policy news.,-831.93,11550.37,REF503re056,CREDIT,ATM,USD
TXN000007,2025-06-30,Tree note responsibility defense material.,698.91,18589.99,REF724Iq238,CREDIT,BRANCH,USD
TXN000008,2025-07-23,Investment on gun young catch management sense technology.,-4348.24,23511.82,REF226yM916,DEBIT,MOBILE,USD
TXN000009,2025-06-30,More wife team activity result race Mr.,,41640.83,REF451Da462,CREDIT,ONLINE,USD
,2025-07-20,Will seven medical blood personal.,-3956.67,33401.9,REF893IX252,CREDIT,ATM,USD
TXN000011,2025-07-25,Truth out major born guy world southern.,-1508.14,5949.07,REF303UF911,CREDIT,MOBILE,USD
TXN000012,2025-07-18,Within mouth call process.,7511.66,8970.05,REF824nI896,CREDIT,ONLINE,USD
TXN000013,2025-07-19,Require human public health tonight.,-995.33,46896.07,REF713bL315,DEBIT,ONLINE,USD
TXN000014,2025-07-15,Discover detail audience piece director town teacher.,5936.9,9006.72,REF183Ii473,CREDIT,BRANCH,USD
TXN000015,2025-07-27,Office drug list imagine behind probably great.,4600.0,28290.54,REF670Uv106,CREDIT,ATM,USD
TXN000016,2025-07-05,Eat couple large instead.,7327.04,40447.24,REF473gd178,CREDIT,BRANCH,USD
TXN000017,2025-06-30,Structure why unit support coach magazine degree.,-1835.26,47202.58,REF602qY606,CREDIT,ONLINE,USD
TXN000018,2025-07-18,Expect recent room situation product main couple.,2488.47,44349.47,REF309dd805,CREDIT,ONLINE,USD
TXN000019,2025-07-06,Live try most arm meet surface attention attack.,-2905.55,37504.46,REF361Mc939,CREDIT,MOBILE,USD
TXN000020,2025-07-26,Bank price north first end prove fire enter.,3752.99,18737.83,REF247DN510,DEBIT,MOBILE,USD
TXN000021,2025-06-30,You available defense enter value thing these.,6336.73,43194.04,REF542NZ784,DEBIT,ONLINE,USD
TXN000022,2025-07-23,Account stage federal professional voice care break.,5207.22,30224.04,REF182nT449,CREDIT,MOBILE,USD
TXN000023,2025-07-17,Data plant enough major town suffer.,9941.82,26926.6,REF164Xi005,DEBIT,ATM,USD
TXN000024,2025-07-19,Claim kind relationship night born.,8271.83,37793.01,REF280jB598,CREDIT,ATM,USD
TXN000025,2025-07-07,Among half value win.,1521.48,23232.46,REF053XJ315,CREDIT,ONLINE,USD
TXN000026,2025-07-14,Wind see understand door class son.,8689.42,43655.41,REF260ZQ256,CREDIT,ONLINE,USD
TXN000027,2025-07-02,Environment skin blue the teach.,,8915.9,REF337ob543,DEBIT,BRANCH,USD
TXN000028,2025-07-13,Huge everything attorney significant go.,-4707.85,46525.83,REF868ql501,CREDIT,ONLINE,USD
TXN000029,2025-06-29,While enter board its rock finish paper memory.,-1386.93,28800.49,REF693aH406,DEBIT,ATM,USD
,2025-07-21,Rather vote say culture issue we TV.,2289.86,4391.41,REF951QA484,DEBIT,ONLINE,USD
TXN000031,2025-07-19,I fast camera inside wait quality.,2129.24,27940.38,REF299at468,CREDIT,MOBILE,USD
TXN000032,2025-07-28,Decision size parent focus kid.,-1823.03,27425.51,REF387GQ214,DEBIT,BRANCH,USD
TXN000033,2025-07-10,Friend stand seem pull different current agency each.,9927.24,32844.02,REF791mT769,CREDIT,MOBILE,USD
TXN000034,2025-07-01,Manager during prevent accept seem show.,-1281.42,4137.27,REF163dJ287,DEBIT,ONLINE,USD
TXN000035,2025-07-16,True building card let most.,-1696.74,4478.66,REF895BJ798,DEBIT,ONLINE,USD
TXN000036,2025-06-30,Today season listen else easy point she.,8581.3,43122.13,REF873Ts471,DEBIT,ONLINE,USD
TXN000037,2025-07-06,Even floor music catch discuss.,5034.67,11497.6,REF231ID665,DEBIT,MOBILE,USD
TXN000038,2025-07-05,Artist strategy hope show watch affect.,6769.29,40567.35,REF967Wy054,DEBIT,ATM,USD
TXN000039,2025-07-01,Mrs same son today major event.,4884.74,18360.58,REF706Di562,CREDIT,MOBILE,USD
TXN000040,2025-07-25,Move trade option production base investment term consider.,,33994.86,REF465vW375,DEBIT,ATM,USD
TXN000041,2025-07-10,Everything week instead strong like see.,5923.2,40229.03,REF053pm100,DEBIT,ONLINE,USD
TXN000042,2025-07-04,Perform draw list.,-2146.87,22982.06,REF193kM745,CREDIT,ONLINE,USD
,2025-07-06,White responsibility sing clearly find official up office.,1939.42,43849.81,REF663gS193,DEBIT,MOBILE,USD
TXN000044,2025-07-23,Sure outside building worker site.,7920.24,27965.94,REF586Pv518,DEBIT,ATM,USD
TXN000045,2025-06-30,Support state black.,8895.5,42586.09,REF572Pr628,DEBIT,MOBILE,USD
TXN000046,2025-07-13,Space Mrs low itself room environmental system store.,2220.38,43367.87,REF147NQ379,DEBIT,ONLINE,USD
TXN000047,2025-07-10,From management foot maintain great election.,-4967.67,20130.67,REF494mf808,CREDIT,BRANCH,USD
,2025-07-11,Result major serve real position.,5448.87,36794.76,REF770zS143,CREDIT,ONLINE,USD
TXN000049,2025-07-04,Fill ok list most international.,-549.38,48466.76,REF855qo744,DEBIT,BRANCH,USD
TXN000050,2025-06-29,Return firm sea week.,-4247.86,24362.64,REF233WH749,DEBIT,ATM,USD
TXN000051,2025-07-28,Executive beyond create dinner conference add move ever.,2617.43,42715.78,REF084aK271,DEBIT,ATM,USD
TXN000052,2025-07-19,Light key continue anything wait.,7927.29,20785.0,REF711KO671,DEBIT,ATM,USD
TXN000053,2025-07-17,Charge specific we.,-3770.25,33211.29,REF131MY869,CREDIT,BRANCH,USD
TXN000054,2025-07-04,Difficult mission late kind team wrong figure perform.,5045.89,16395.01,REF913kp341,CREDIT,MOBILE,USD
TXN000055,2025-07-02,Necessary choose impact ready.,5075.35,15699.86,REF740SD344,CREDIT,ATM,USD
TXN000056,2025-06-28,Reach under skin person.,1874.28,49924.27,REF361rj832,DEBIT,ATM,USD
,2025-07-15,Arrive society organization station.,-1802.69,13994.82,REF471rG746,CREDIT,ATM,USD
TXN000058,2025-07-26,Management ball always it focus economy before.,-1335.73,14964.38,REF990WW490,CREDIT,BRANCH,USD
TXN000059,2025-07-17,Like prepare trouble consider.,9757.8,40547.9,REF967Av175,DEBIT,BRANCH,USD
TXN000060,2025-07-27,Prove tax form really explain war.,4950.83,47007.57,REF807uh154,DEBIT,BRANCH,USD
TXN000061,2025-07-01,Ten stay ability thank left approach.,8345.69,37378.42,REF859nr770,DEBIT,BRANCH,USD
TXN000062,2025-07-07,Capital explain thing machine ahead picture son.,4072.45,36163.0,REF248fo086,DEBIT,BRANCH,USD
TXN000063,2025-07-14,Left brother strategy marriage.,2327.98,45361.49,REF484pD677,DEBIT,ATM,USD
TXN000064,2025-07-18,Certain course out second carry attorney significant.,1353.64,14557.33,REF658Ut404,DEBIT,BRANCH,USD
TXN000065,2025-07-22,Oil process tend land machine forward several help.,-3037.71,49010.1,REF533XA963,DEBIT,MOBILE,USD
TXN000066,2025-07-15,Fish list tree.,5585.01,28484.44,REF662GL702,DEBIT,ATM,USD
,2025-07-28,Thank them key moment lead reveal.,8246.6,45292.5,REF621NS745,DEBIT,BRANCH,USD
TXN000068,2025-07-16,Power system system teacher here first.,3287.88,22059.55,REF780OR913,DEBIT,BRANCH,USD
TXN000069,2025-07-09,Young section its better plant.,8484.72,40009.99,REF172uY400,DEBIT,BRANCH,USD
TXN000070,2025-07-04,Fall hear certainly most.,5231.0,33679.74,REF922yN219,CREDIT,MOBILE,USD
TXN000001,2025-07-17,Marriage on discussion point least.,6242.16,46362.43,REF074Cw821,DEBIT,ONLINE,USD
TXN000072,2025-07-23,Federal while real lead few yourself table blood.,7161.58,44189.39,REF695bQ944,DEBIT,ONLINE,USD
TXN000073,2025-07-21,Ever not rate seat any paper.,8867.31,39336.94,REF743Om953,CREDIT,ONLINE,USD
TXN000074,2025-07-06,Economy sense should race carry best physical always.,-2612.03,35362.63,REF709su521,CREDIT,ATM,USD
TXN000075,2025-07-25,Compare car much will most tree.,2060.35,10779.07,REF247De451,CREDIT,BRANCH,USD
TXN000076,2025-07-07,Senior difficult put purpose.,7308.05,43694.83,REF685qI160,DEBIT,ATM,USD
TXN000077,2025-07-19,Lawyer pull public once.,-2103.05,17084.84,REF513Ju709,DEBIT,BRANCH,USD
TXN000078,2025-07-09,Determine as statement travel few impact cause watch.,4622.23,20584.24,REF471iy138,CREDIT,ATM,USD
TXN000079,2025-07-01,He we recent music onto risk those.,8155.58,13799.54,REF179Sx640,CREDIT,ATM,USD
TXN000080,2025-07-01,Kitchen wear talk between rate.,3948.57,17938.67,REF850hD643,CREDIT,MOBILE,USD
TXN000081,2025-07-17,Production politics others again.,9763.54,6666.64,REF532WJ931,DEBIT,BRANCH,USD
TXN000082,2025-06-29,Only spend do similar small.,5631.78,1082.87,REF904qZ228,DEBIT,BRANCH,USD
TXN000083,2025-07-11,Body term capital group.,-3950.39,33547.65,REF395di024,CREDIT,BRANCH,USD
TXN000084,2025-07-19,Moment second live sing message board.,7720.23,36267.96,REF839DP084,CREDIT,BRANCH,USD
TXN000085,2025-07-19,Article look husband.,1125.89,20717.62,REF177Mj115,CREDIT,ONLINE,USD
TXN000086,2025-07-04,Call person one Republican.,1306.7,47077.82,REF698MB478,DEBIT,BRANCH,USD
TXN000087,2025-07-10,Soldier boy pressure there.,3219.06,1019.89,REF836vD736,CREDIT,ONLINE,USD
TXN000088,2025-07-11,Indeed believe interview professor hear check.,6786.38,30726.42,REF711gV116,CREDIT,MOBILE,USD
TXN000089,2025-07-12,Speech news only no form business.,1632.4,11471.37,REF560wg494,CREDIT,ONLINE,USD
TXN000090,2025-07-19,Medical choice lot suggest glass news boy.,-3728.07,26257.15,REF493NR689,CREDIT,ATM,USD
,2025-07-24,Ago upon stop environment Congress reflect finally.,9279.99,12508.56,REF550Qz229,CREDIT,ONLINE,USD
TXN000092,2025-07-23,Center plan air second.,-2013.05,2196.84,REF366xt752,DEBIT,MOBILE,USD
TXN000093,2025-07-17,Since nothing be apply church pay.,7746.07,4568.58,REF147CA679,CREDIT,ONLINE,USD
,2025-07-20,Democratic mention generation book question.,5445.31,25224.48,REF978zM403,DEBIT,ONLINE,USD
TXN000001,2025-07-18,Account feeling deep case.,5314.34,44740.33,REF445VB107,DEBIT,MOBILE,USD
TXN000096,2025-07-05,Can mouth discover next.,-2361.7,47940.34,REF516De060,CREDIT,ATM,USD
TXN000097,2025-07-15,Office of remember individual boy again.,-1262.03,42568.48,REF529Bg751,CREDIT,ONLINE,USD
TXN000001,2025-07-23,Job hundred bad that second.,1969.65,27025.46,REF352HG181,CREDIT,MOBILE,USD
TXN000099,2025-07-17,Town glass road standard spring.,7225.1,44708.99,REF312Mj432,CREDIT,MOBILE,USD
TXN000100,2025-07-26,Concern significant management senior.,-2612.63,43213.25,REF979jC955,CREDIT,BRANCH,USD
,2025-07-22,Light place someone option.,-1291.4,32245.41,REF581cd477,CREDIT,ONLINE,USD
TXN000102,2025-07-06,Story baby ten talk past medical.,1598.09,35963.7,REF798Pm079,DEBIT,BRANCH,USD
TXN000103,2025-07-08,Painting may whatever late specific study.,-204.36,27467.46,REF182CH037,DEBIT,ONLINE,USD
TXN000104,2025-07-05,Particular hair truth hold simple quickly appear.,745.53,8487.46,REF515sq186,DEBIT,ATM,USD
TXN000105,2025-07-11,Their four old center glass whose recognize hot.,1113.99,27587.95,REF914iQ865,CREDIT,ATM,USD
TXN000001,2025-07-04,Behavior provide meet adult final week game.,7493.37,20084.36,REF733sY221,DEBIT,MOBILE,USD
TXN000107,2025-07-13,Medical music school money.,-4911.56,18236.18,REF592kl962,CREDIT,MOBILE,USD
TXN000108,2025-07-15,Speak close join improve put down know expect.,6212.74,27760.48,REF738mx347,DEBIT,MOBILE,USD
TXN000109,2025-07-05,Worker left example high month whom stage.,-905.97,24796.46,REF924Jg075,CREDIT,BRANCH,USD
TXN000110,2025-07-19,Surface expect several evening town challenge join.,5187.13,20811.52,REF375zG060,DEBIT,MOBILE,USD
TXN000111,2025-07-27,Dog yes heart agreement us stuff.,-3085.58,31490.59,REF522Si047,DEBIT,MOBILE,USD
TXN000112,2025-07-16,Large accept bad eight strong nature road.,3465.88,2328.0,REF861hd434,CREDIT,ONLINE,USD
TXN000113,2025-07-25,Information soldier lead book toward.,1925.48,3463.95,REF980Tj893,CREDIT,BRANCH,USD
TXN000114,2025-07-04,Investment pass drive indicate professor.,1820.49,17537.53,REF185GY188,CREDIT,BRANCH,USD
TXN000115,2025-07-22,Never hospital like player wonder effect administration.,9268.06,21656.68,REF153ic195,DEBIT,MOBILE,USD
TXN000116,2025-06-28,National spend compare single let receive.,6235.36,3552.19,REF221mc704,CREDIT,ONLINE,USD
TXN000117,2025-07-18,Though firm financial huge spring.,-3970.72,47906.99,REF740Xd345,DEBIT,ATM,USD
