gl_transaction_id,posting_date,account_code,account_name,debit_amount,credit_amount,description,reference_number,currency,source_document
GL000522,2025-07-09,1001,Revenue,0.0,6764.05,Response theory star station recognize media.,REF569Sb857,USD,BANK_STMT_2025-07
GL000738,2025-07-23,3001,Savings,166.8,0.0,Read claim recent great realize home act.,REF931uQ992,USD,BANK_STMT_2025-07
GL000741,2025-06-27,2001,Cash,0.0,7357.66,Standard by material yourself increase goal stock.,REF685Bx127,USD,BANK_STMT_2025-06
GL000661,2025-07-06,1001,Checking Account,9735.69,0.0,Yard nature front question.,REF566sS184,USD,BANK_STMT_2025-07
GL000412,2025-07-18,1002,Revenue,56.68,0.0,Future low them financial force.,REF182yT307,USD,BANK_STMT_2025-07
GL000679,2025-07-06,1002,Checking Account,0.0,8282.39,Maybe every into walk thing sport figure.,REF146eU511,USD,BANK_STMT_2025-07
GL000627,2025-07-07,1001,Savings,0.0,2701.9,Front court protect.,REF312Gg206,USD,BANK_STMT_2025-07
GL000514,2025-07-12,3001,Cash,4448.52,0.0,Agree someone financial magazine yard.,REF603bq242,USD,BANK_STMT_2025-07
GL000860,2025-07-25,3001,Savings,0.0,381.93,Sort weight he page line.,REF352au287,USD,BANK_STMT_2025-07
GL000137,2025-07-18,3001,Savings,0.0,3255.83,Budget window hour some fund voice sense current.,REF868iT000,USD,BANK_STMT_2025-07
GL000812,2025-06-26,2001,Savings,1427.62,0.0,Camera Congress analysis glass.,REF342Qh967,USD,BANK_STMT_2025-06
GL000077,2025-07-16,2001,Checking Account,2103.05,0.0,Lawyer pull public once.,REF513Ju709,USD,BANK_STMT_2025-07
GL000637,2025-07-09,2001,Savings,8251.36,0.0,Even sit bag win huge.,REF277VB689,USD,BANK_STMT_2025-07
GL000974,2025-07-01,3001,Cash,0.0,8435.48,Science structure dinner stock big reveal police.,REF597qT263,USD,BANK_STMT_2025-07
GL000939,2025-06-25,1001,Checking Account,1176.41,0.0,Citizen message surface off life practice course.,REF164Pv772,USD,BANK_STMT_2025-06
GL000900,2025-07-14,2001,Checking Account,4842.63,0.0,Determine particularly rock participant leave inside.,REF958av678,USD,BANK_STMT_2025-07
GL000281,2025-07-06,2001,Checking Account,0.0,8773.707661076045,Seem fly former everything.,REF838fD663,USD,BANK_STMT_2025-07
GL000884,2025-07-25,2001,Savings,0.0,7034.5,Soon learn close a.,REF232lp441,USD,BANK_STMT_2025-07
GL000762,2025-07-22,2001,Savings,0.0,2928.13800265993,Again adult situation office above left capital.,REF608Pb805,USD,BANK_STMT_2025-07
GL000320,2025-06-26,1001,Savings,0.0,6866.64,Store over some star consider.,REF842Le579,USD,BANK_STMT_2025-06
GL000550,2025-07-20,1001,Savings,0.0,6072.292577604392,Throughout individual list manager voice.,REF576Um024,USD,BANK_STMT_2025-07
GL000175,2025-07-21,1001,Savings,0.0,2237.49,Sell require huge baby.,REF293vy968,USD,BANK_STMT_2025-07
GL000372,2025-07-12,3001,Cash,4877.34,0.0,Other military year few feel.,REF335GJ048,USD,BANK_STMT_2025-07
GL000528,2025-06-25,1001,Revenue,0.0,6066.121395179985,Second high issue deal democratic.,REF436bs262,USD,BANK_STMT_2025-06
GL000211,2025-07-06,1002,Savings,0.0,5092.43,Country hot position six soldier dream history.,REF379xu180,USD,BANK_STMT_2025-07
GL000236,2025-07-14,1001,Revenue,0.0,2958.35,Discussion despite money a.,REF932db525,USD,BANK_STMT_2025-07
GL000102,2025-07-03,1001,Checking Account,1598.09,0.0,Story baby ten talk past medical.,REF798Pm079,USD,BANK_STMT_2025-07
GL000987,2025-07-18,1002,Checking Account,0.0,2105.52,Great religious these matter continue.,REF633CW515,USD,BANK_STMT_2025-07
GL000903,2025-07-16,1001,Revenue,4459.08,0.0,It yet age wind news make doctor.,REF826zn911,USD,BANK_STMT_2025-07
GL000948,2025-07-25,3001,Checking Account,6158.13,0.0,Concern act million cell like.,REF009NA345,USD,BANK_STMT_2025-07
GL000347,2025-07-04,1002,Revenue,0.0,972.4,Cold take by doctor edge season.,REF132eE611,USD,BANK_STMT_2025-07
GL000140,2025-07-01,1002,Checking Account,0.0,6086.860041798037,Officer return on color pick people subject challenge.,REF309Cu130,USD,BANK_STMT_2025-07
GL000622,2025-07-19,1001,Cash,6552.2,0.0,And ago police put left gas human.,REF360Ti041,USD,BANK_STMT_2025-07
GL000500,2025-07-08,2001,Checking Account,860.57,0.0,Would memory challenge lawyer business majority.,REF320FR101,USD,BANK_STMT_2025-07
GL000371,2025-07-04,1001,Savings,0.0,2423.41,Step food drive nation heart nearly.,REF457Uc760,USD,BANK_STMT_2025-07
GL000199,2025-07-01,3001,Checking Account,9990.6,0.0,Tend bring speech decide scene ready.,REF962nZ923,USD,BANK_STMT_2025-07
GL000688,2025-07-24,1002,Checking Account,5906.55,0.0,Foot share think maybe.,REF621jw102,USD,BANK_STMT_2025-07
GL000585,2025-07-06,1001,Cash,0.0,9008.87,By have cover.,REF030fN453,USD,BANK_STMT_2025-07
GL000902,2025-06-26,1002,Savings,6766.358572728056,0.0,No generation debate world hard factor firm.,REF702Nw992,USD,BANK_STMT_2025-06
GL000060,2025-07-24,3001,Revenue,4952.999194457129,0.0,Prove tax form really explain war.,REF807uh154,USD,BANK_STMT_2025-07
GL000329,2025-07-09,1002,Savings,0.0,4364.67,Pass minute represent our watch star.,REF770mc384,USD,BANK_STMT_2025-07
